Description,App Name,App Link
"Seismic for Zoom provides engagement intelligence and content insights by analyzing conversations with your prospects.We help sellers and enablers better understand how your content is used as well as provide insights on the presented content, questions asked, conversation topics, keywords, and next steps.Users can also view and share Zoom meeting recordings directly from the Seismic platform.",Seismic ,No Link Available
"Orchestrate allows event marketers to easily manage the digital presence of their events right from HubSpot.Import Events and Registrants from ZoomEvent details and registrants are synced to HubSpot in real-time, allowing marketers to automate event communications and operations.Publish Your Event WebsitePublish a polished event website, complete with an events calendar, registration form, and speaker details. Easily customize the site to fit your brand.Manage Speakers and SponsorsManage speaker assignments, bios, and photos for your website. Centralize event sponsor details to make publishing last-minute changes a breeze.",event hapily - Events Management for HubSpot,No Link Available
"Orchestrate allows event marketers to easily manage the digital presence of their events right from HubSpot.Import Events and Registrants from ZoomEvent details and registrants are synced to HubSpot in real-time, allowing marketers to automate event communications and operations.Publish Your Event WebsitePublish a polished event website, complete with an events calendar, registration form, and speaker details. Easily customize the site to fit your brand.Manage Speakers and SponsorsManage speaker assignments, bios, and photos for your website. Centralize event sponsor details to make publishing last-minute changes a breeze.",Orchestrate - Events Management for HubSpot,No Link Available
"Are you a licensed Zoom user? This native recording app allows you to record and transcribe—it gives you superpowers.Clovers is an interview intelligence platform that allows recruiters and hiring teams to deliver more effective and consistent interviews that improves the experience for everyone involved.Clovers for Admins automatically records candidate interviews, transcribes them, and stores them in one central place for everyone on the hiring team to review, learn from, and make hiring decisions based on real data and not by gut feeling.Focus on having a great conversation and not getting distracted with note-taking. Let’s make interviewing better for everyone. Explore and try for free at https://clovers.ai",Clovers Bot,No Link Available
"Are you a licensed Zoom user? This native recording app allows you to record and transcribe—it gives you superpowers.Clovers is an interview intelligence platform that allows recruiters and hiring teams to deliver more effective and consistent interviews that improves the experience for everyone involved.Clovers for Admins automatically records candidate interviews, transcribes them, and stores them in one central place for everyone on the hiring team to review, learn from, and make hiring decisions based on real data and not by gut feeling.Focus on having a great conversation and not getting distracted with note-taking. Let’s make interviewing better for everyone. Explore and try for free at https://clovers.ai",Clovers Recording App,No Link Available
"What if your conversations with customers and team were easily searchable and actionable with AI? Save hours on redundant calls, taking notes, tracking down information, updating docs, and keeping your team aligned. BuildBetter cuts down on operational busy work that weighs teams down. “I wouldn't work for a company that doesn't have BB at the center of their operations.” - Tiger Smith (Head of Product) 
BuildBetter.ai is the default product tool for over 19,000 teams because:
1. Highly-accurate transcripts (97%) and call summaries (with support of over 17 languages). 
2. You never pay for user seats, so the entire organization gets access. 
3. Your data is never used to train models. We follow strict privacy protocols. 🆕 Learn more and about how to use BuildBetter for FREE at BuildBetter.ai 🆕Product teams spend up to 75% of their time on operations. Teams that use BuildBetter spend less than 30%. Focus on the fun visionary sh-t. Let BuildBetter help with the operational BS. “It wouldn't be possible to my job at this scale without your application.” - John Strang (Product Operations)Privacy: trust.BuildBetter.ai No-seat pricing plans: BuildBetter.ai/plans",AI Product Assistant by BuildBetter.ai,No Link Available
"What if your conversations with customers and team were easily searchable and actionable with AI? Save hours on redundant calls, taking notes, tracking down information, updating docs, and keeping your team aligned. BuildBetter cuts down on operational busy work that weighs teams down. “I wouldn't work for a company that doesn't have BB at the center of their operations.” - Tiger Smith (Head of Product) 
BuildBetter.ai is the default product tool for over 19,000 teams because:
1. Highly-accurate transcripts (97%) and call summaries (with support of over 17 languages). 
2. You never pay for user seats, so the entire organization gets access. 
3. Your data is never used to train models. We follow strict privacy protocols. 🆕 Learn more and about how to use BuildBetter for FREE at BuildBetter.ai 🆕Product teams spend up to 75% of their time on operations. Teams that use BuildBetter spend less than 30%. Focus on the fun visionary sh-t. Let BuildBetter help with the operational BS. “It wouldn't be possible to my job at this scale without your application.” - John Strang (Product Operations)Privacy: trust.BuildBetter.ai No-seat pricing plans: BuildBetter.ai/plans",AI Product Assistant by BuildBetter.ai ,No Link Available
"Introducing Varonis DA Cloud, the ultimate security platform designed exclusively for Zoom. Where remote communication plays a crucial role, protecting your sensitive information is paramount. DA Cloud provides a robust and comprehensive solution, ensuring that your Zoom meetings and data remain secure. With state-of-the-art real-time threat detection and advanced access controls, DA Cloud offers a security shield against unauthorized access, data breaches, and cyber threats.


Varonis DA Cloud is also supported in the US marketplace - Varonis DA Cloud (zoom.us)", Varonis DA Cloud - CA,No Link Available
"Introducing Varonis DA Cloud, the ultimate security platform designed exclusively for Zoom. Where remote communication plays a crucial role, protecting your sensitive information is paramount. DA Cloud provides a robust and comprehensive solution, ensuring that your Zoom meetings and data remain secure. With state-of-the-art real-time threat detection and advanced access controls, DA Cloud offers a security shield against unauthorized access, data breaches, and cyber threats.


Varonis DA Cloud is also supported in the US marketplace - Varonis DA Cloud (zoom.us)",Varonis DA Cloud - CA,No Link Available
"Piper is our company and we uses Recall to send a bot in our users' Zoom video calls. This is what Piper provides:Effortless meeting prepPiper gives you a comprehensive view of all past interactions, so you're briefed on vital details within secondsAlso, Piper recommends specific talking points and questions tailored to maximize deal successSeal the deal. Choose PiperState-of-the-art call intelligencePiper provides accurate multi-lingual transcriptions and summaries of your customer engagementsDid we say intelligence? Piper decodes what’s really going on in the call, providing specific insights that are important to youUnearth the gold in every call. Choose PiperFull pipeline automationYou read it right! Piper auto-fills 100% of deal-related fields in your CRM, so you can save hours spent on data entryWith 50+ standard fields and the freedom to create custom ones, Piper handles the heavy lifting while you focus on sellingFree up your time. Choose PiperNext-gen sales assistancePiper is the ultimate AI partner for sales teams. From crafting meeting notes to organizing next steps into actionable tasks, Piper's got it coveredNeed an email draft or help with scheduling your next call? Consider it doneFree up your mind. Choose Piper",PiperAI ,No Link Available
"Piper is our company and we uses Recall to send a bot in our users' Zoom video calls. This is what Piper provides:Effortless meeting prepPiper gives you a comprehensive view of all past interactions, so you're briefed on vital details within secondsAlso, Piper recommends specific talking points and questions tailored to maximize deal successSeal the deal. Choose PiperState-of-the-art call intelligencePiper provides accurate multi-lingual transcriptions and summaries of your customer engagementsDid we say intelligence? Piper decodes what’s really going on in the call, providing specific insights that are important to youUnearth the gold in every call. Choose PiperFull pipeline automationYou read it right! Piper auto-fills 100% of deal-related fields in your CRM, so you can save hours spent on data entryWith 50+ standard fields and the freedom to create custom ones, Piper handles the heavy lifting while you focus on sellingFree up your time. Choose PiperNext-gen sales assistancePiper is the ultimate AI partner for sales teams. From crafting meeting notes to organizing next steps into actionable tasks, Piper's got it coveredNeed an email draft or help with scheduling your next call? Consider it doneFree up your mind. Choose Piper",PiperAI,No Link Available
"Within Lemniscus, practitioneers can manage appointments and issue invoices.This app allows Lemniscus to manage Zoom-Meetings directly from the Lemniscus calendar.Lemniscus is only available in Germany.",Lemniscus,No Link Available
"Within Lemniscus, practitioneers can manage appointments and issue invoices.This app allows Lemniscus to manage Zoom-Meetings directly from the Lemniscus calendar.Lemniscus is only available in Germany.",lemniscus,No Link Available
"Millions of electronic records are generated by Zoom Phone each day and it has become a cornerstone technology for a vast number of organizations. However, without the right solution in place to govern its usage adoption can be risky. Smarsh can reduce the risk of non-compliance through a service that is fully managed at the source, which allows organizations to adopt with confidence. Smarsh Connected Capture offers the following benefits:Comprehensive complianceSmarsh provides native compliance and governance for Zoom Phone SMS/MMS and Audio Calls. This content can be sent to the Smarsh Connected Archive to meet FINRA, SEC, FCA, MiFID II and other regulatory mandates. Native Content CaptureCapture the nuances of on-screen chat interactions exactly as they happen, regardless of the device being used. Whether the interaction is in a formal meeting or an informal session, Smarsh can capture it and ensure you meet your compliance requirements.Export to Secure, Context-Aware Archive Export Zoom communications content to the Smarsh Connected Archive, an immutable and context-aware data store optimized for supervision and e-discovery, or to another email archive of choice.A Connected Capture license is required to install this app. To purchase a license, please get in touch with our sales team: www.smarsh.com/sales-contactSmarsh collects, uses, processes, and discloses personal information in accordance with its privacy policy (available under Privacy Policy) or the terms of its agreement with a Smarsh customer. Representative customer terms are available under Terms of Use. However, Smarsh customers that download and install this application must first enter into an agreement and order form with Smarsh, which may differ from the terms linked under Terms of Use.",Smarsh Cloud Capture for Zoom Phone UAT - US WEST2,No Link Available
"Millions of electronic records are generated by Zoom Phone each day and it has become a cornerstone technology for a vast number of organizations. However, without the right solution in place to govern its usage adoption can be risky. Smarsh can reduce the risk of non-compliance through a service that is fully managed at the source, which allows organizations to adopt with confidence. Smarsh Connected Capture offers the following benefits:Comprehensive complianceSmarsh provides native compliance and governance for Zoom Phone SMS/MMS and Audio Calls. This content can be sent to the Smarsh Connected Archive to meet FINRA, SEC, FCA, MiFID II and other regulatory mandates. Native Content CaptureCapture the nuances of on-screen chat interactions exactly as they happen, regardless of the device being used. Whether the interaction is in a formal meeting or an informal session, Smarsh can capture it and ensure you meet your compliance requirements.Export to Secure, Context-Aware Archive Export Zoom communications content to the Smarsh Connected Archive, an immutable and context-aware data store optimized for supervision and e-discovery, or to another email archive of choice.A Connected Capture license is required to install this app. To purchase a license, please get in touch with our sales team: www.smarsh.com/sales-contactSmarsh collects, uses, processes, and discloses personal information in accordance with its privacy policy (available under Privacy Policy) or the terms of its agreement with a Smarsh customer. Representative customer terms are available under Terms of Use. However, Smarsh customers that download and install this application must first enter into an agreement and order form with Smarsh, which may differ from the terms linked under Terms of Use.",Smarsh Cloud Capture for Zoom Phone UAT - US EAST1,No Link Available
"Improve call efficiency with the ability to simply click the call icon to start a call with your prospect or customer.Engage contextually with information about your prospects and customers right at your fingertips.Save time and easily keep track of previous conversations with automatic call logging.Don't let conversation details slip through the cracks, with the option to add notes and create follow-up tasks during or after the call.",Zoom Phone for Zoho CRM JP Datacenter,No Link Available
"Improve call efficiency with the ability to simply click the call icon to start a call with your prospect or customer.Engage contextually with information about your prospects and customers right at your fingertips.Save time and easily keep track of previous conversations with automatic call logging.Don't let conversation details slip through the cracks, with the option to add notes and create follow-up tasks during or after the call.",Zoom Phone for Zoho CRM US Datacenter,No Link Available
Streamline the scheduling process for your HR team with the Zoom Integration for Keka. Our integration with Zoom allows your team to streamline your scheduling process by seamlessly including a Zoom Meeting when you schedule phone/video interviews with your candidates. The Zoom Integration with Keka can be enabled by Global Admins and Super Recruiters of your Keka Hire portal.,Keka,No Link Available
Streamline the scheduling process for your HR team with the Zoom Integration for Keka. Our integration with Zoom allows your team to streamline your scheduling process by seamlessly including a Zoom Meeting when you schedule phone/video interviews with your candidates. The Zoom Integration with Keka can be enabled by Global Admins and Super Recruiters of your Keka Hire portal.,Keka HR,No Link Available
"Is your day slammed with non-stop meetings? Do you sometimes have the feeling that instead of attending an appointment, a briefing afterwards would be enough? Look no further!At Tucan, we rethink the way we do meetings. Instead of being present at every call, let yourself be briefed automagically by our software. Connect Tucan with your Zoom calls, and the software transcribes, analyzes and summarizes for you, and it does not stop there: we even help your teams structure meetings better with our time management and agenda planner. Imagine a world where that project update call is over in 15 minutes instead of 2 hours. The goal is simple: to free everyone from manual meeting documentation without losing any information. So let's re-focus on what matters!",Tucan.ai,No Link Available
"Is your day slammed with non-stop meetings? Do you sometimes have the feeling that instead of attending an appointment, a briefing afterwards would be enough? Look no further!At Tucan, we rethink the way we do meetings. Instead of being present at every call, let yourself be briefed automagically by our software. Connect Tucan with your Zoom calls, and the software transcribes, analyzes and summarizes for you, and it does not stop there: we even help your teams structure meetings better with our time management and agenda planner. Imagine a world where that project update call is over in 15 minutes instead of 2 hours. The goal is simple: to free everyone from manual meeting documentation without losing any information. So let's re-focus on what matters!",Tucan.ai SDK,No Link Available
Blink is an automation platform. In Blink you can create Automations.Blink exposes actions which you can use in your Automations.This application enables creating a secure OAuth connection for using Zoom actions in Blink.,Blink App,No Link Available
Blink is an automation platform. In Blink you can create Automations.Blink exposes actions which you can use in your Automations.This application enables creating a secure OAuth connection for using Zoom actions in Blink.,Blink OAuth,No Link Available
"Boostlingo AI Pro delivers high-quality translations using AI captioning to expand communication, offering dependable speech-to-text to support diverse communities. Effortlessly convert spoken words into written text with live captioning during meetings, events, or conferences to improve communication among all participants no matter what language they speak. Boostlingo AI Pro delivers precise real-time translated captions, allowing users to follow along in their preferred language.

By installing this app, you gain immediate access to multilingual captions directly into your Zoom meetings.

You can set it up directly in-app and determine what languages and how many languages you want to translate and caption in real-time.

Benefits to downloading Boostlingo AI Pro in Zoom:

* Accurate live captioning translated into 300+ languages
* Immediate post-event AI transcriptions
* Seamless integration into Zoom meeting interface

* Deliver highly accurate and real-time translated captions

* Voice recognition for multiple speakers",Boostlingo AI Pro - BETA,No Link Available
"Boostlingo AI Pro delivers high-quality translations using AI captioning to expand communication, offering dependable speech-to-text to support diverse communities. Effortlessly convert spoken words into written text with live captioning during meetings, events, or conferences to improve communication among all participants no matter what language they speak. Boostlingo AI Pro delivers precise real-time translated captions, allowing users to follow along in their preferred language.

By installing this app, you gain immediate access to multilingual captions directly into your Zoom meetings.

You can set it up directly in-app and determine what languages and how many languages you want to translate and caption in real-time.

Benefits to downloading Boostlingo AI Pro in Zoom:

* Accurate live captioning translated into 300+ languages
* Immediate post-event AI transcriptions
* Seamless integration into Zoom meeting interface

* Deliver highly accurate and real-time translated captions

* Voice recognition for multiple speakers",Boostlingo AI Pro - Captions & AI Translations,No Link Available
"Element451 is a CRM built for higher education admissions marketing, recruiting, and enrollment management. It has all the tools a school needs to bring in a new class, including event management. With this integration, when you create an event in Element451 for prospective students or their families, a Zoom meeting is automatically created too. The integration syncs activity between the platforms so you don’t need to manually enter who attended and who missed the session.",Element451 Admin,No Link Available
"Element451 is a CRM built for higher education admissions marketing, recruiting, and enrollment management. It has all the tools a school needs to bring in a new class, including event management. With this integration, when you create an event in Element451 for prospective students or their families, a Zoom meeting is automatically created too. The integration syncs activity between the platforms so you don’t need to manually enter who attended and who missed the session.",Element451,No Link Available
"As one of the most effective marketing channels to drive business, your virtual events program generates valuable data that complements the live event experience. Virtual event data becomes most powerful when it is combined with your registration data and paints the full picture of the user experience, from start to finish. With Zoom, easily reach audiences where they are to deliver your message anywhere in the world. Further power your events with Cvent’s event marketing and management platform. Our Zoom integration allows all virtual and hybrid events to be managed in Cvent. Cvent and Zoom make the creation, management, and execution of events and event registration quick and easy.Build microsites for your event in Cvent and associate it to a Zoom Event.Consolidate in-person and virtual registrations in Cvent to provide a consistent on-brand attendee experience.Attendees join the Zoom Event via Cvent email communication. No need to share individual meeting links separately.",Cvent for Zoom Events,No Link Available
"As one of the most effective marketing channels to drive business, your virtual events program generates valuable data that complements the live event experience. Virtual event data becomes most powerful when it is combined with your registration data and paints the full picture of the user experience, from start to finish. With Zoom, easily reach audiences where they are to deliver your message anywhere in the world. Further power your events with Cvent’s event marketing and management platform. Our Zoom integration allows all virtual and hybrid events to be managed in Cvent. Cvent and Zoom make the creation, management, and execution of events and event registration quick and easy.Build microsites for your event in Cvent and associate it to a Zoom Event.Consolidate in-person and virtual registrations in Cvent to provide a consistent on-brand attendee experience.Attendees join the Zoom Event via Cvent email communication. No need to share individual meeting links separately.",Cvent for Zoom Events App,No Link Available
"Teachfloor is an LMS for cohort-based courses. Course creators and online schools can design and sell online live courses under their own brand. Run live classes on Zoom, collect online payments, and manage their students.Sync all of your classes with ZoomEach new lesson will be automatically synced with Zoom. It’s quick and easy to connect your account to Zoom, making video calls totally hassle-free.Automate Zoom links to save timeEach class will be given a unique link accessible only to your subscribers. Say goodbye to wasting time sending links to your students.",Teachfloor,No Link Available
"Teachfloor is an LMS for cohort-based courses. Course creators and online schools can design and sell online live courses under their own brand. Run live classes on Zoom, collect online payments, and manage their students.Sync all of your classes with ZoomEach new lesson will be automatically synced with Zoom. It’s quick and easy to connect your account to Zoom, making video calls totally hassle-free.Automate Zoom links to save timeEach class will be given a unique link accessible only to your subscribers. Say goodbye to wasting time sending links to your students.",Teachfloor 2.0,No Link Available
"Sales Copilot by Glyphic captures essential information from sales calls and transforms it into actionable insights, letting you to focus on providing the best possible experience for your customers. 


Glyphic integrates with your Zoom account so that your CRM is always up-to-date with the most important information discussed in every call. It allows you to prioritize follow-ups as well as action items and automates many common tasks.",Glyphic Copilot for Zoom,No Link Available
"Sales Copilot by Glyphic captures essential information from sales calls and transforms it into actionable insights, letting you to focus on providing the best possible experience for your customers. 


Glyphic integrates with your Zoom account so that your CRM is always up-to-date with the most important information discussed in every call. It allows you to prioritize follow-ups as well as action items and automates many common tasks.",Sales Copilot bot by Glyphic,No Link Available
"Stay connected and share your view wherever you go. Start or join a meeting easily and instantly utilizing hands-free technology, get remote assistance using video streaming, and more, all on your smart glasses. Vuzix Smart Glasses Video Conferencing for Zoom brings see-what-I-see image and video sharing, online meetings, and other features of the Zoom service lineup together in one easy-to-use application on your Vuzix smart glasses. Share your view, use voice commands, and interact with others on Zoom while keeping your hands available to complete important tasks. The award-winning Zoom video conferencing service can be accessed through your Vuzix smart glasses by downloading the Vuzix Smart Glasses Video Conferencing for Zoom app, available on the Vuzix app store.Use of this application requires Vuzix smart glasses. More information on our smart glass offerings can be found here.",Vuzix Smart Glasses Video Conferencing for Zoom,No Link Available
"Stay connected and share your view wherever you go. Start or join a meeting easily and instantly utilizing hands-free technology, get remote assistance using video streaming, and more, all on your smart glasses. Vuzix Smart Glasses Video Conferencing for Zoom brings see-what-I-see image and video sharing, online meetings, and other features of the Zoom service lineup together in one easy-to-use application on your Vuzix smart glasses. Share your view, use voice commands, and interact with others on Zoom while keeping your hands available to complete important tasks. The award-winning Zoom video conferencing service can be accessed through your Vuzix smart glasses by downloading the Vuzix Smart Glasses Video Conferencing for Zoom app, available on the Vuzix app store.Use of this application requires Vuzix smart glasses. More information on our smart glass offerings can be found here.",Vuzix Video Conferencing for Zoom,No Link Available
"Use Case and Main Function — Streamline complicated exchanges such as schedule adjustment, sharing of web conference rooms, and input to calendar. When the schedule adjustment is completed, the confirmed date and time will be automatically registered in Google Calendar. When using a web conference, the Zoom conference URL is automatically added to the calendar.Requirements for Users — Users need to have Zoom account and Google account. If users have above account, users can use all functions of Dr.Works.How to Integrate with Zoom — After logging in Dr.Works, you can integrate with your Zoom account from the link below. “https://app.dr.works/zoom”Pricing — The charges will incurred by the number of schedule adjustment. Less than six times, you can use for free. Dr.Works will charge JPY750, approximately equal USD7, per user/month if you use Dr.Works seven times or more. There are no additional charges by integrating with Zoom. That’s because Integration with Zoom is basic function.",Dr.Works For Zoom,No Link Available
"Use Case and Main Function — Streamline complicated exchanges such as schedule adjustment, sharing of web conference rooms, and input to calendar. When the schedule adjustment is completed, the confirmed date and time will be automatically registered in Google Calendar. When using a web conference, the Zoom conference URL is automatically added to the calendar.Requirements for Users — Users need to have Zoom account and Google account. If users have above account, users can use all functions of Dr.Works.How to Integrate with Zoom — After logging in Dr.Works, you can integrate with your Zoom account from the link below. “https://app.dr.works/zoom”Pricing — The charges will incurred by the number of schedule adjustment. Less than six times, you can use for free. Dr.Works will charge JPY750, approximately equal USD7, per user/month if you use Dr.Works seven times or more. There are no additional charges by integrating with Zoom. That’s because Integration with Zoom is basic function.",Dr.Works,No Link Available
RC Together is virtual space that syncs with Zoom and helps you and your team collaborate and stay connected. It displays your Zoom meetings in a fully customizable space where you can:Join meetingsView meeting topics and participants in real-timeSee upcoming meetings,RC Together,No Link Available
RC Together is virtual space that syncs with Zoom and helps you and your team collaborate and stay connected. It displays your Zoom meetings in a fully customizable space where you can:Join meetingsView meeting topics and participants in real-timeSee upcoming meetings,RC Together for Organizations,No Link Available
"This application is available in Japanese only.An application that makes it possible to issue Zoom Meeting URLs on on-time adoption.When a date and time is selected, it makes it possible to issue a Zoom Meeting for the selected date and time.",Ontime Recruitment,No Link Available
"This application is available in Japanese only.An application that makes it possible to issue Zoom Meeting URLs on on-time adoption.When a date and time is selected, it makes it possible to issue a Zoom Meeting for the selected date and time.",OntimeAgent,No Link Available
"Gainsight (Organizational Description)Retain And Grow Your Customers At ScaleGainsight CS makes customers your best growth engine. Get a comprehensive view of your customers, understand trends and risks, and empower your team to scale with proven actions that deliver outcomes.Gainsight App for Zoom  (App Description) Make managing your customer accounts even easier with the Gainsight App for Zoom. Capture customer communications in real-time using Gainsight Timeline and the display peritant details from an account’s 360 directly within Zoom during customer calls to ensure that Customer Success teams deliver value to your customers during every interaction. Use our Zoom app to:Provide a single source of truth about each customer across your entire company to improve alignmentImprove customer call experiences by surfacing important account details for customer-facing teams directly in Zoom. Drive team efficiency by reducing time needed to prep for customer calls and enabling note-taking or account updates directly within ZoomLeverage data to improve customer analysis as all customer interactions are tracked within a centralized location",Gainsight EU App for Zoom,No Link Available
"Gainsight (Organizational Description)Retain And Grow Your Customers At ScaleGainsight CS makes customers your best growth engine. Get a comprehensive view of your customers, understand trends and risks, and empower your team to scale with proven actions that deliver outcomes.Gainsight App for Zoom  (App Description) Make managing your customer accounts even easier with the Gainsight App for Zoom. Capture customer communications in real-time using Gainsight Timeline and the display peritant details from an account’s 360 directly within Zoom during customer calls to ensure that Customer Success teams deliver value to your customers during every interaction. Use our Zoom app to:Provide a single source of truth about each customer across your entire company to improve alignmentImprove customer call experiences by surfacing important account details for customer-facing teams directly in Zoom. Drive team efficiency by reducing time needed to prep for customer calls and enabling note-taking or account updates directly within ZoomLeverage data to improve customer analysis as all customer interactions are tracked within a centralized location",Gainsight App for Zoom,No Link Available
"Use anny to accept bookings quickly and easily. Anytime, anywhere.Anny offers an innovative and intuitive platform for booking management. No matter if you rent rooms or equipment or provide services, annys flexible platform enables you to offer the best possible booking experience for your customers. Furthermore you benefit from extensive administration and configuration possibilities.With our Zoom integration you can combine resources with Zoom accounts and automate the creation of Meetings. Install the App, configure it and create automatically meetings when a new booking arrives.",anny eu+,No Link Available
"Use anny to accept bookings quickly and easily. Anytime, anywhere.Anny offers an innovative and intuitive platform for booking management. No matter if you rent rooms or equipment or provide services, annys flexible platform enables you to offer the best possible booking experience for your customers. Furthermore you benefit from extensive administration and configuration possibilities.With our Zoom integration you can combine resources with Zoom accounts and automate the creation of Meetings. Install the App, configure it and create automatically meetings when a new booking arrives.",anny,No Link Available
"SaaS Security API for Zoom (AUS) Palo Alto Networks SaaS Security API is a security solution that connects to your sanctioned SaaS application using the SaaS application’s API. This API integration enables the service to discover and scan all assets retroactively when you first connect there Zoom app instance with the SaaS application. SaaS Security API scans and analyzes all your Zoom assets and applies policy to identify exposures, external collaborators, risky user behavior, and sensitive documents and identifies the potential risks associated with each asset.SaaS Security API also performs deep content inspection and protects both your historical assets and new assets from malware, data exposure, and data exfiltration. As SaaS Security API identifies incidents, you can assess them and define automated actions to eliminate or close the incident.",Palo Alto Networks NG-CASB - UK,No Link Available
"SaaS Security API for Zoom (AUS) Palo Alto Networks SaaS Security API is a security solution that connects to your sanctioned SaaS application using the SaaS application’s API. This API integration enables the service to discover and scan all assets retroactively when you first connect there Zoom app instance with the SaaS application. SaaS Security API scans and analyzes all your Zoom assets and applies policy to identify exposures, external collaborators, risky user behavior, and sensitive documents and identifies the potential risks associated with each asset.SaaS Security API also performs deep content inspection and protects both your historical assets and new assets from malware, data exposure, and data exfiltration. As SaaS Security API identifies incidents, you can assess them and define automated actions to eliminate or close the incident.",SaaS Security API for Zoom - AUS,No Link Available
"Elevate Your Virtual Training: GTM Buddy & Zoom
Effortless Course Creation & Delivery:

Build engaging courses with videos, quizzes, and simulations in GTM Buddy.
Tailor content to different learning styles and needs.
Schedule sessions seamlessly with an integrated Zoom calendar for automatic invites.
Eliminate manual attendance tracking through automated reports.
Enhanced Learner Collaboration & Engagement:

Invite learners directly to VILT sessions within GTM Buddy.
Motivate participation with pre-session materials and assessments.
Conduct live, interactive assessments with diverse question formats.
Adapt assessments to individual performance for a personalized experience.
Data-Driven Insights for Improvement:

Gain detailed reports on learner performance and session effectiveness.
Identify areas for improvement and tailor future sessions for optimal results.
Focus on delivering impactful training while leaving administrative tasks behind.
GTM Buddy & Zoom: A Powerful Combination

By leveraging both platforms, you can create:

Seamless: Effortless course creation, scheduling, and attendance tracking.
Engaging: Interactive learning materials, live assessments, and personalized experiences.
Data-driven: Insights to improve training effectiveness and learner outcomes.
Focus on what matters: Deliver impactful training, not manage administrative tasks.

In essence, GTM Buddy and Zoom empower you to create VILT experiences that are not just informative, but truly engaging and data-driven, maximizing training impact while minimizing administrative burden.",GTM Buddy App,No Link Available
"Elevate Your Virtual Training: GTM Buddy & Zoom
Effortless Course Creation & Delivery:

Build engaging courses with videos, quizzes, and simulations in GTM Buddy.
Tailor content to different learning styles and needs.
Schedule sessions seamlessly with an integrated Zoom calendar for automatic invites.
Eliminate manual attendance tracking through automated reports.
Enhanced Learner Collaboration & Engagement:

Invite learners directly to VILT sessions within GTM Buddy.
Motivate participation with pre-session materials and assessments.
Conduct live, interactive assessments with diverse question formats.
Adapt assessments to individual performance for a personalized experience.
Data-Driven Insights for Improvement:

Gain detailed reports on learner performance and session effectiveness.
Identify areas for improvement and tailor future sessions for optimal results.
Focus on delivering impactful training while leaving administrative tasks behind.
GTM Buddy & Zoom: A Powerful Combination

By leveraging both platforms, you can create:

Seamless: Effortless course creation, scheduling, and attendance tracking.
Engaging: Interactive learning materials, live assessments, and personalized experiences.
Data-driven: Insights to improve training effectiveness and learner outcomes.
Focus on what matters: Deliver impactful training, not manage administrative tasks.

In essence, GTM Buddy and Zoom empower you to create VILT experiences that are not just informative, but truly engaging and data-driven, maximizing training impact while minimizing administrative burden.",GTM Buddy,No Link Available
"XemblyXembly - Fewer, Shorter, Better, Meetings - Automatically. We spend 10 years of our lives in unnecessary meetings. Xembly applies Intelligent Automation to improve meeting productivity so you can spend less time meeting and more time doing. Reclaim valuable time from unnecessary meetingsMake meetings more efficient and productiveTake action on personalized data-driven recommendationsImprove meeting culture Xembly’s mission is to fuel growth for every worker. Our founders, investors, and advisors include seasoned technology executives and operators with experience in workplace productivity, analytics, and artificial intelligence, who are passionate about solving the single biggest growth blocker for workers and teams - meetings.",Xena by Xembly NoteTaker Bot,No Link Available
"XemblyXembly - Fewer, Shorter, Better, Meetings - Automatically. We spend 10 years of our lives in unnecessary meetings. Xembly applies Intelligent Automation to improve meeting productivity so you can spend less time meeting and more time doing. Reclaim valuable time from unnecessary meetingsMake meetings more efficient and productiveTake action on personalized data-driven recommendationsImprove meeting culture Xembly’s mission is to fuel growth for every worker. Our founders, investors, and advisors include seasoned technology executives and operators with experience in workplace productivity, analytics, and artificial intelligence, who are passionate about solving the single biggest growth blocker for workers and teams - meetings.",Xembly,No Link Available
"Turn your Zoom meetings and webinars into engaging virtual events.Streamline meeting setup with Zoom integration.Save time by connecting your Zoom account with Gathr, and let us automatically create your virtual events.Next-level audience engagement.Embed your Zoom meeting and take advantage of multiple integrations on your customizable event watch page, like an audience map and donation buttons for 501(c)(3) charities.Stay in touch with attendees and build your community.Accelerate your business with email marketing to attendees. Centralize event communications in one dashboard.Ticket purchasers automatically receive an event access link in their emails. Automatically send reminder emails to your Attendees on your event day 2 hours before, 1 hour before, and five minutes before your event, so you don’t have to. Monetize your virtual events with ease. Sell more tickets by offering various ticket tiers.Collect donations at check-out and in-event.Take Advantage of Recurring Events.Never worry again about planning and communication for your daily classes, weekly seminars, and monthly workshops.Gathr has no additional system requirements to use.",Gathr for Meetings and Webinars,No Link Available
"Turn your Zoom meetings and webinars into engaging virtual events.Streamline meeting setup with Zoom integration.Save time by connecting your Zoom account with Gathr, and let us automatically create your virtual events.Next-level audience engagement.Embed your Zoom meeting and take advantage of multiple integrations on your customizable event watch page, like an audience map and donation buttons for 501(c)(3) charities.Stay in touch with attendees and build your community.Accelerate your business with email marketing to attendees. Centralize event communications in one dashboard.Ticket purchasers automatically receive an event access link in their emails. Automatically send reminder emails to your Attendees on your event day 2 hours before, 1 hour before, and five minutes before your event, so you don’t have to. Monetize your virtual events with ease. Sell more tickets by offering various ticket tiers.Collect donations at check-out and in-event.Take Advantage of Recurring Events.Never worry again about planning and communication for your daily classes, weekly seminars, and monthly workshops.Gathr has no additional system requirements to use.",Gathr,No Link Available
